exp,session,id,learning context,accuracy
0,0,26944389699983701551544795136,PP,0.55
0,0,26944389699983701551544795136,RC,0.4
0,0,26944389699983701551544795136,RP,0.6
0,0,26957199044609602011661336576,PC,0.95
0,0,26957199044609602011661336576,PP,0.95
0,0,26957199044609602011661336576,RC,1.0
0,0,26957199044609602011661336576,RP,1.0
0,0,26957261267309799916737396736,PC,0.7
0,0,26957261267309799916737396736,PP,0.45
0,0,26957261267309799916737396736,RC,0.8
0,0,26957261267309799916737396736,RP,1.0
0,0,26958869415798701356331565056,PC,1.0
0,0,26958869415798701356331565056,PP,0.65
0,0,26958869415798701356331565056,RC,0.75
0,0,26958869415798701356331565056,RP,0.95
0,0,26970743127844298500136239104,PC,0.5
0,0,26970743127844298500136239104,PP,0.5
0,0,26970743127844298500136239104,RC,0.85
0,0,26970743127844298500136239104,RP,0.55
0,0,27007665018291902139638743040,PC,0.85
0,0,27007665018291902139638743040,PP,0.9
0,0,27007665018291902139638743040,RC,0.9
0,0,27007665018291902139638743040,RP,1.0
0,0,27051074269551897951218958336,PC,0.75
0,0,27051074269551897951218958336,PP,0.7
0,0,27051074269551897951218958336,RC,0.75
0,0,27051074269551897951218958336,RP,0.6
0,0,27063474310059001091054370816,PC,0.8
0,0,27063474310059001091054370816,PP,0.7
0,0,27063474310059001091054370816,RC,0.45
0,0,27063474310059001091054370816,RP,0.45
0,0,27117817796331298113391165440,PC,0.65
0,0,27117817796331298113391165440,PP,0.55
0,0,27117817796331298113391165440,RC,0.7
0,0,27117817796331298113391165440,RP,0.6
0,0,27126525049966599851988746240,PC,1.0
0,0,27126525049966599851988746240,PP,0.8
0,0,27126525049966599851988746240,RC,1.0
0,0,27126525049966599851988746240,RP,0.95
0,0,27136047543675501401396477952,PC,0.45
0,0,27136047543675501401396477952,PP,0.55
0,0,27136047543675501401396477952,RC,0.8
0,0,27136047543675501401396477952,RP,0.6
0,0,27143804243674698678234251264,PC,0.45
0,0,27143804243674698678234251264,PP,0.55
0,0,27143804243674698678234251264,RC,0.55
0,0,27143804243674698678234251264,RP,0.5
0,0,27143906674701600096285360128,PC,0.75
0,0,27143906674701600096285360128,PP,0.6
0,0,27143906674701600096285360128,RC,0.75
0,0,27143906674701600096285360128,RP,1.0
0,0,27144843594957899454182588416,PC,0.4
0,0,27144843594957899454182588416,PP,0.75
0,0,27144843594957899454182588416,RC,0.9
0,0,27144843594957899454182588416,RP,0.0
0,0,27146276685877900673145634816,PC,0.65
0,0,27146276685877900673145634816,PP,0.65
0,0,27146276685877900673145634816,RC,0.45
0,0,27146276685877900673145634816,RP,0.45
0,0,27155118701157800315694612480,PC,0.8
0,0,27155118701157800315694612480,PP,0.65
0,0,27155118701157800315694612480,RC,0.8
0,0,27155118701157800315694612480,RP,0.8
0,0,27161787260123600911897460736,PC,0.55
0,0,27161787260123600911897460736,PP,0.4
0,0,27161787260123600911897460736,RC,0.45
0,0,27161787260123600911897460736,RP,0.55
0,0,27177688633296401156341235712,PC,0.4
0,0,27177688633296401156341235712,PP,0.7
0,0,27177688633296401156341235712,RC,0.4
0,0,27177688633296401156341235712,RP,0.4
0,0,27183505656842199537238933504,PC,0.8
0,0,27183505656842199537238933504,PP,0.7
0,0,27183505656842199537238933504,RC,0.6
0,0,27183505656842199537238933504,RP,0.1
0,0,27187083168935898739430653952,PC,0.6
0,0,27187083168935898739430653952,PP,0.5
0,0,27187083168935898739430653952,RC,0.9
0,0,27187083168935898739430653952,RP,0.55
0,0,27191478249113201408974258176,PC,0.9
0,0,27191478249113201408974258176,PP,0.6
0,0,27191478249113201408974258176,RC,0.6
0,0,27191478249113201408974258176,RP,0.75
0,0,27230794737124298876820389888,PC,0.95
0,0,27230794737124298876820389888,PP,0.0
0,0,27230794737124298876820389888,RC,1.0
0,0,27230794737124298876820389888,RP,1.0
0,0,27273715564844399337593110528,PC,0.9
0,0,27273715564844399337593110528,PP,0.95
0,0,27273715564844399337593110528,RC,0.9
0,0,27273715564844399337593110528,RP,0.9
0,0,27279284415189799731866894336,PC,0.8
0,0,27279284415189799731866894336,PP,0.65
0,0,27279284415189799731866894336,RC,0.95
0,0,27279284415189799731866894336,RP,0.4
0,0,27282162943689500252979593216,PC,0.5
0,0,27282162943689500252979593216,PP,0.8
0,0,27282162943689500252979593216,RC,0.1
0,0,27282162943689500252979593216,RP,0.9
0,0,27287233128429601461159067648,PC,0.5
0,0,27287233128429601461159067648,PP,0.3
0,0,27287233128429601461159067648,RC,0.75
0,0,27287233128429601461159067648,RP,0.65
0,0,27306015921498600605168435200,PC,0.7
0,0,27306015921498600605168435200,PP,0.55
0,0,27306015921498600605168435200,RC,0.95
0,0,27306015921498600605168435200,RP,0.7
0,0,27320910471160500814497185792,PC,0.45
0,0,27320910471160500814497185792,PP,0.65
0,0,27320910471160500814497185792,RC,0.45
0,0,27320910471160500814497185792,RP,0.85
0,0,27335850354607998264196202496,PC,0.7
0,0,27335850354607998264196202496,PP,0.85
0,0,27335850354607998264196202496,RC,0.9
0,0,27335850354607998264196202496,RP,0.35
0,0,27350713958336398107793686528,PC,0.85
