session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,First Language,Current Country of Residence,Nationality,Country of Birth,Student Status,Employment Status
5ad4b60aa6322100010c91d2,58efec0c95e1480001305bd2,Approved,2018-04-16 14:41:14.728000,2018-04-16 14:55:26.800000,852.072,46,483,2,100,2018-05-03 14:22:48.334000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ad4b664ec723b0001f51035,58cd0bc2a47dbb000171dc8b,Approved,2018-04-16 14:42:44.537000,2018-04-16 15:35:56.651000,3192.114,54,308,2,100,2018-05-03 14:24:15.285000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
5ad4b6f56f18960001e7d171,5932e2c8b97ad00001745487,Approved,2018-04-16 14:45:09.742000,2018-04-16 15:08:09.471000,1379.729,51,445,7,100,2018-05-03 14:24:52.920000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
5ad4b74927c301000101d04f,597f4d7dbf453d00010aadb4,Approved,2018-04-16 14:46:33.566000,2018-04-16 15:06:39.657000,1206.091,34,222,9,98,2018-05-03 14:22:50.749000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ad4b83c27c301000101d057,57b5b037df22f70001e0bbfd,Approved,2018-04-16 14:50:36.848000,2018-04-16 15:05:20.400000,883.552,58,798,6,100,2018-05-03 14:22:52.404000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ad4b84c20bce5000127127e,56cefc4cb009e1000aa73684,Approved,2018-04-16 14:50:51.947000,2018-04-16 15:12:38.381000,1306.434,26,804,7,100,2018-05-03 14:22:55.514000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ad4b8797bf53f0001e671b4,58a0ebc8bb9e0f0001ac9aa6,Approved,2018-04-16 14:51:37.096000,2018-04-16 15:09:24.749000,1067.653,36,84,6,97,2018-05-03 14:22:58.204000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
5ad4b8807bf53f0001e671b5,596cad007f8c1e00017cb1ca,Approved,2018-04-16 14:51:44.364000,2018-04-16 15:06:15.107000,870.743,36,298,2,100,2018-05-03 14:22:59.469000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,Unemployed (and job seeking)
5ad4b8946e74be00014e5b4c,5984a5015ff23800011e04c2,Approved,2018-04-16 14:52:04.407000,2018-04-16 15:17:25.029000,1520.622,20,217,3,100,2018-05-03 14:23:00.791000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,Yes,Unemployed (and job seeking)
5ad4b92e6f18960001e7d186,58794c1e327dab000199ea58,Approved,2018-04-16 14:54:38.231000,2018-04-16 15:09:13.545000,875.314,61,201,2,100,2018-05-03 14:23:02.510000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
5ad4b935546e150001b6945e,58eba7db0e72c400013e95da,Approved,2018-04-16 14:54:45.504000,2018-04-16 15:11:34.214000,1008.71,39,139,2,100,2018-05-03 14:23:03.448000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
